op_id,panel,section,file name
object.define_toe,Auto UV,Shell UV Generation -  2. Define Toe,define_toe.py
object.orient_uv_island,Auto UV,Shell UV Generation -  3. Orient UV Island,orient_uv_island.py
object.unwrap_shell,Auto UV,Shell UV Generation - 1. Unwrap Shell,unwrap_shell.py
mesh.create_quad_panel_from_outline,Depricated,Step 6: Create Quad Panel Border,create_quad_panel_border.py
mesh.fill_quad_border,Depricated,,fill_quad_border.py
object.apply_lace_nodegroup,Lace Generator,Lace Generator - Apply Lace Geometry,lace_from_curve.py
object.solidify_panel,Main Panel,Add Solidify (if missing),solidify_panel.py
object.apply_solidify,Main Panel,Applies Solidify,
mesh.apply_shrinkwrap,Main Panel,Panel Helper Tools - Apply Shrinkwrap,apply_shrinkwrap.py
mesh.set_edge_flow,Main Panel,Panel Helper Tools - Edge Flow,edge_flow.py
mesh.edge_relax,Main Panel,Panel Helper Tools - Edge Relax,edge_relax.py
mesh.mirror_panel,Main Panel,Panel Helper Tools - Mirror Panel,mirror_panel.py
mesh.quick_conform,Main Panel,Panel Helper Tools - Quick Conform,
mesh.select_all,Main Panel,Panel Helper Tools - Select All,
mesh.loop_multi_select,Main Panel,Panel Helper Tools - Select Edge Loops,
mesh.check_uv_boundary (1),Nurbs To Surface - UV Curve To Panel,Step 2a : Boundary Check,uv_boundary_checker.py
mesh.reselect_uv_violations (1),Nurbs To Surface - UV Curve To Panel,Step 2a: UV Boundary Check - Re-select Violations,
object.shell_uv_to_panel,Nurbs To Surface - UV Curve To Panel,Step 3: Shell UV to Panel,shell_uv_to_panel.py
object.gp_to_curve,"Nurbs To Surface - UV Curve To Panel, Nurbs To Surface-Bezier To Surface, Surface Direct [3D], UV Workflow [2D]",Step 2: Create & Edit Curve,gp_to_curve.py
object.decimate_curve,"Nurbs To Surface - UV Curve To Panel, Nurbs To Surface-Bezier To Surface, Surface Direct [3D], UV Workflow [2D]",Step 2a: Curve Editing Tools - Decimate Curve,decimate_curve.py
object.uv_to_mesh,"Nurbs To Surface - UV Curve To Panel, UV Workflow [2D]",Step 1. UV to Mesh (Auto Add Grease Pencil),uv_to_mesh.py
spp.convert_bezier_to_surface,Nurbs To Surface-Bezier To Surface,Step 3: Generate NURBS Surface,convert_bezier_to_surface.py
object.convert,Nurbs To Surface-Bezier To Surface,Step 4: Surface to Mesh (target=MESH),
object.add_gp_draw,"Nurbs To Surface-Bezier To Surface, Surface Direct [3D]",Step 1: Create Grease Pencil,add_gp_draw.py
curve.mirror_selected_points_at_cursor,"Nurbs To Surface-Bezier To Surface, Surface Direct [3D], UV Workflow [2D]",Step 2b: Curve Editing Tools - Mirror Tools (Edit Mode),mirror_curve_points.py
object.convert_to_mesh,Surface Direct [3D],Step 3: Convert Curve to Boundary Mesh,convert_to_mesh.py
object.smooth_vertices,Surface Direct [3D],Step 3a: Refine Mesh - Smoothing,smooth_vertices.py
object.reduce_verts,Surface Direct [3D],Step 3a: Refine Mesh - Vertex Reduction,reduce_verts.py
object.panel_generate,Surface Direct [3D],Step 4: Generate Boundary Fill,panel_generate.py
,Surface Direct [3D],Step 4: Helper File To object.panel_generate,panel_generator.py
curve.sample_to_polyline,UV Workflow [2D],Step 3: Sample Curve to Polyline,sample_curve_to_polyline.py
mesh.check_uv_boundary,UV Workflow [2D],Step 4: Boundary Check,uv_boundary_checker.py
mesh.reselect_uv_violations,UV Workflow [2D],Step 4: UV Boundary Check - Re-select Violations,
mesh.fill_border_grid,UV Workflow [2D],Step 5: Fill Border with Grid,fill_border_grid.py
mesh.overlay_panel_onto_shell,UV Workflow [2D],Step 6:  Project To Surface,overlay_panel_onto_shell.py
